"","k__Bacteria","p__Actinobacteria","p__Bacteroidetes","p__Cyanobacteria","p__Firmicutes","p__Fusobacteria","p__OD1","p__Proteobacteria","p__Spirochaetes","p__SR1","p__TM7","c__Actinobacteria","c__Alphaproteobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Chloroplast","c__Clostridia","c__Coriobacteriia","c__Cytophagia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichi","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Sphingobacteriia","c__Spirochaetes","c__TM7-3","o__Actinomycetales","o__Aeromonadales","o__Bacillales","o__Bacteroidales","o__Burkholderiales","o__Campylobacterales","o__Clostridiales","o__Coriobacteriales","o__CW040","o__Cytophagales","o__Enterobacteriales","o__Erysipelotrichales","o__Flavobacteriales","o__Fusobacteriales","o__Gemellales","o__Lactobacillales","o__Neisseriales","o__Pasteurellales","o__Pseudomonadales","o__Rhizobiales","o__Rhodobacterales","o__Rhodocyclales","o__Sphingobacteriales","o__Sphingomonadales","o__Spirochaetales","o__Streptophyta","o__Xanthomonadales","f__[Mogibacteriaceae]","f__[Paraprevotellaceae]","f__[Tissierellaceae]","f__[Weeksellaceae]","f__ACK-M1","f__Actinomycetaceae","f__Aerococcaceae","f__Aeromonadaceae","f__Alcaligenaceae","f__Bacteroidaceae","f__Burkholderiaceae","f__Campylobacteraceae","f__Carnobacteriaceae","f__Clostridiaceae","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriaceae","f__Cryomorphaceae","f__Cytophagaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__F16","f__Flavobacteriaceae","f__Fusobacteriaceae","f__Gemellaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Leptotrichiaceae","f__Leuconostocaceae","f__Microbacteriaceae","f__Micrococcaceae","f__Moraxellaceae","f__Neisseriaceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Pseudomonadaceae","f__Rhizobiaceae","f__Rhodobacteraceae","f__Rhodocyclaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Sphingomonadaceae","f__Spirochaetaceae","f__Streptococcaceae","f__Veillonellaceae","f__Xanthomonadaceae","g__[Eubacterium]","g__[Prevotella]","g__[Ruminococcus]","g__Acinetobacter","g__Actinomyces","g__Agrobacterium","g__Anaerococcus","g__Arcobacter","g__Atopobium","g__Bacteroides","g__Blautia","g__Bulleidia","g__Campylobacter","g__Capnocytophaga","g__Catonella","g__Chryseobacterium","g__Clostridium","g__Comamonas","g__Coprococcus","g__Corynebacterium","g__Dialister","g__Enhydrobacter","g__Enterococcus","g__Faecalibacterium","g__Flavobacterium","g__Fluviicola","g__Fusobacterium","g__Granulicatella","g__Haemophilus","g__Lachnospira","g__Lactobacillus","g__Lactococcus","g__Lautropia","g__Leptotrichia","g__Leuconostoc","g__Megasphaera","g__Microvirgula","g__Mogibacterium","g__Moryella","g__Neisseria","g__Oribacterium","g__Oscillospira","g__Parabacteroides","g__Parvimonas","g__Peptoniphilus","g__Peptostreptococcus","g__Porphyromonas","g__Prevotella","g__Propionibacterium","g__Pseudomonas","g__Rothia","g__Salinispora","g__Selenomonas","g__Streptococcus","g__Sulfurospirillum","g__Sutterella","g__Tannerella","g__Treponema","g__Veillonella","g__Vitreoscilla","g__Weissella","g__Zoogloea","s__acnes","s__aerodenitrificans","s__cibaria","s__confusa","s__copri","s__dentocariosa","s__dispar","s__endodontalis","s__fallax","s__johnsonii","s__luteciae","s__melaninogenica","s__moorei","s__mucilaginosa","s__nanceiensis","s__nigrescens","s__parainfluenzae","s__parvula","s__prausnitzii","s__rhizosphaerae","s__subflava","s__tannerae","s__uniformis","s__zeae","p__Tenericutes","c__Mollicutes","o__Mycoplasmatales","f__Mycoplasmataceae","g__Actinobacillus","g__Aggregatibacter","g__Butyrivibrio","g__Eikenella","g__Mycoplasma","f__Peptococcaceae","f__Bacillaceae","g__Finegoldia","s__dolichum","s__gnavus","g__Filifactor","s__socranskii","p__GN02","c__GKS2-174","o__MIZ46","s__fragilis","smokingstatus","bodysite"
"ESC.1.67.NPR",370,5,12,0,307,0,0,46,0,0,0,3,1,273,2,9,0,33,2,2,0,0,1,7,0,36,1,0,0,3,2,0,2,6,0,33,2,0,2,22,1,7,0,0,273,0,0,11,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,2,1,2,0,0,0,1,4,2,1,1,2,22,1,1,0,4,0,0,10,2,0,178,2,0,9,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,92,9,0,1,0,1,3,0,0,1,0,0,2,0,0,0,0,0,2,1,0,1,1,0,1,0,0,4,1,0,0,0,0,2,72,0,0,170,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.58.NPR",1363,21,48,5,1180,0,0,107,0,0,0,21,5,1116,9,37,5,61,0,0,0,5,3,39,0,60,0,0,0,21,0,6,9,18,5,61,0,0,0,32,3,39,0,0,1110,13,0,25,4,0,1,0,0,0,5,3,0,1,0,37,0,4,0,0,0,5,3,5,0,0,12,0,7,0,0,32,7,3,0,2,0,0,11,19,0,445,0,0,15,13,2,0,0,0,3,9,0,3,0,1,0,3,0,0,639,47,3,1,1,1,14,3,3,0,5,0,5,1,0,0,0,0,36,0,4,1,7,0,1,0,0,2,0,0,0,0,0,19,524,0,0,397,0,1,0,0,1,1,1,0,0,0,0,0,3,7,0,0,3,0,111,0,0,0,0,47,6,2,0,7,1,2,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,"Smoker","NPR"
"ESC.1.39.NPR",969,19,18,2,749,0,0,178,0,0,2,19,1,737,4,21,2,12,0,1,0,2,0,13,0,154,0,0,2,19,0,0,4,7,2,12,0,0,1,140,0,13,0,0,737,1,0,14,0,0,1,0,0,0,2,0,0,0,1,7,1,3,0,0,1,4,1,2,0,1,4,0,8,2,1,140,2,0,0,4,0,0,0,3,0,518,0,0,11,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,212,9,0,0,0,0,7,3,0,0,1,0,4,0,0,0,0,0,7,0,1,0,8,0,4,0,0,4,2,0,0,0,0,3,166,0,0,501,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,44,0,0,0,0,9,1,1,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"NonSmoker","NPR"
"ESC.1.13.NPR",445,15,13,0,353,0,0,62,0,0,2,15,6,333,2,11,0,17,0,0,0,2,3,11,0,43,0,0,2,15,0,2,2,5,2,17,0,0,0,13,3,11,0,0,331,3,0,30,3,3,0,0,0,0,0,0,0,0,3,11,0,4,0,0,0,1,0,2,0,0,5,0,8,0,0,13,9,3,0,0,0,0,2,1,0,199,0,1,20,3,0,0,0,0,1,1,0,2,3,0,0,0,0,0,121,12,0,0,0,0,20,3,2,2,2,0,1,0,0,0,0,0,11,0,2,0,8,0,0,2,0,0,0,0,0,0,0,1,112,0,0,36,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,9,0,0,0,0,12,0,5,0,1,1,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.14.NPR",298,10,13,2,233,0,0,40,0,0,0,10,2,224,0,9,2,9,0,0,0,4,0,13,0,25,0,0,0,10,3,0,0,3,4,9,0,0,0,5,0,13,0,0,224,1,0,17,1,0,1,0,0,0,2,0,0,0,1,13,0,0,0,3,0,0,0,4,0,1,3,0,7,0,0,5,6,0,0,0,0,0,0,1,0,120,2,0,10,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,97,6,0,0,0,0,9,0,1,1,2,0,0,0,0,0,0,0,13,0,1,0,7,0,1,0,0,0,0,0,0,0,0,1,89,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.35.NPR",957,13,23,6,822,0,2,87,0,0,1,12,4,812,1,21,6,10,0,5,1,0,0,16,0,61,1,0,1,12,1,4,1,14,0,10,0,0,5,35,0,16,0,0,808,1,0,25,2,2,0,1,0,0,6,0,0,0,0,9,0,3,0,1,1,0,0,0,0,1,5,0,0,1,5,35,6,0,0,6,0,0,0,4,0,556,3,0,18,1,8,0,0,0,1,6,0,2,2,0,0,0,0,0,242,9,0,0,0,0,15,3,2,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,3,0,0,6,1,0,0,0,0,4,183,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,58,0,1,0,0,9,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,"NonSmoker","NPR"
"ESC.1.64.NPR",758,24,13,1,699,0,0,21,0,0,0,6,0,241,8,4,1,404,18,0,1,0,54,5,0,16,0,0,0,6,0,2,8,4,0,404,18,0,0,11,54,5,0,4,235,0,0,4,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,6,3,18,1,0,0,11,0,54,0,4,0,4,216,2,0,168,1,0,4,0,1,0,0,1,0,1,0,0,0,0,3,156,0,0,65,4,1,49,0,10,3,0,0,0,0,0,4,26,0,0,0,0,1,0,0,50,1,0,1,0,0,4,0,0,0,0,0,2,52,0,0,163,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0,0,0,0,0,2,"Smoker","NPR"
"ESC.1.66.NPR",233,7,15,0,191,0,1,18,0,0,1,6,0,170,3,6,0,20,0,2,1,1,1,9,0,10,1,0,1,6,0,0,3,4,1,20,0,0,2,4,1,9,0,0,170,0,1,4,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,0,0,2,1,1,0,0,2,0,0,2,2,4,0,1,0,4,0,0,8,4,0,64,4,0,3,0,1,1,0,0,1,0,0,0,0,1,0,5,0,0,102,6,1,1,0,1,3,1,0,0,1,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,4,2,0,0,1,0,4,88,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.42.NPR",113,4,4,0,93,1,0,10,0,0,0,3,0,91,3,4,0,1,1,1,0,0,1,0,1,6,0,0,0,3,0,0,3,2,0,1,1,0,1,3,1,0,1,0,91,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,1,3,1,1,0,0,0,0,0,2,1,48,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,34,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Smoker","NPR"
"ESC.1.3.NPR",592,16,24,1,478,0,0,72,0,0,0,16,3,434,8,18,1,41,0,0,0,5,3,16,0,46,0,0,0,16,0,0,8,9,5,41,0,0,0,23,3,16,0,0,434,4,0,21,2,1,1,0,0,0,1,1,0,0,0,13,0,0,0,0,0,6,0,5,0,0,8,0,4,0,0,23,12,3,0,3,0,0,3,2,0,285,0,2,12,4,1,0,0,1,0,10,1,1,1,1,0,5,0,0,135,30,1,0,0,0,11,0,1,0,3,0,6,1,0,0,0,0,12,0,2,0,4,0,1,2,3,3,0,0,0,0,0,2,122,0,0,117,0,1,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,13,1,0,0,0,28,2,1,0,10,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","NPR"
"ESC.1.31.NPR",389,5,12,0,334,0,0,37,0,0,0,5,1,325,0,11,0,9,0,0,0,0,0,12,0,25,0,0,0,5,0,0,0,7,0,9,0,0,0,12,0,12,0,0,325,2,0,13,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,12,0,0,0,5,0,0,0,1,0,189,0,2,11,2,1,0,0,0,0,3,0,0,0,1,0,0,1,0,135,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,111,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,23,0,0,0,0,8,1,0,0,3,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","NPR"
"ESC.1.53.OPL",1187,47,261,0,567,25,1,266,2,0,16,44,1,408,253,217,0,154,3,0,0,5,5,8,25,43,0,2,16,44,0,0,253,3,5,154,3,8,0,3,5,8,25,10,397,213,38,0,0,1,0,0,0,2,0,0,3,32,1,1,0,11,3,0,0,0,1,5,3,0,2,3,0,0,0,3,0,5,7,7,22,10,26,2,3,67,2,31,0,213,0,38,1,15,206,0,0,0,1,0,0,0,0,2,321,111,0,0,32,0,0,11,0,0,0,2,0,0,5,5,7,0,0,0,0,0,0,2,0,0,0,0,0,22,3,29,0,2,48,0,3,62,4,0,0,6,213,4,0,0,1,0,1,15,206,0,0,31,1,3,272,0,0,0,2,101,0,0,0,0,0,0,0,1,0,79,5,1,0,0,158,0,31,3,0,21,3,0,0,4,2,0,1,0,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Smoker","OPL"
"ESC.1.55.OPL",1259,33,405,0,534,120,0,126,9,0,32,27,1,354,402,57,0,162,6,1,0,15,18,2,120,53,0,9,32,27,0,0,402,0,15,162,6,3,1,0,18,2,120,0,354,57,53,0,0,0,0,0,0,9,0,0,1,30,2,1,0,15,0,0,0,6,0,15,2,0,0,6,0,0,1,0,0,18,2,1,82,0,28,0,36,41,0,11,0,57,0,53,8,45,308,0,0,0,0,0,0,1,0,9,311,102,0,1,30,1,0,15,0,0,0,4,6,1,17,15,0,1,0,0,0,1,0,3,0,0,0,1,0,82,2,52,0,0,16,0,36,41,3,0,1,2,57,8,0,0,2,0,2,45,308,0,0,11,0,1,294,0,0,0,9,91,0,0,0,0,0,0,0,0,0,78,1,0,0,0,148,4,11,0,7,30,2,0,0,55,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,"Smoker","OPL"
"ESC.1.61.OPL",1126,85,387,1,431,147,0,47,7,3,16,47,0,117,383,13,1,306,38,0,0,18,8,4,147,16,0,7,16,47,0,0,383,3,18,306,38,3,0,0,8,4,147,1,116,10,16,0,0,0,0,0,0,7,1,0,18,67,25,0,0,24,0,0,0,1,3,18,3,0,0,38,0,0,0,0,0,8,3,4,90,1,76,0,57,3,0,23,0,10,0,16,1,18,295,0,0,0,0,0,0,1,0,7,110,168,0,0,67,0,0,20,0,0,0,38,1,0,8,18,4,5,0,0,0,0,0,1,0,0,0,0,0,90,3,14,0,0,2,3,50,3,17,0,4,11,10,28,0,0,25,0,0,17,295,0,0,23,0,1,108,0,0,1,7,149,0,0,0,0,0,0,0,1,0,131,2,0,0,0,200,1,23,2,0,12,3,0,0,7,23,0,0,1,1,1,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"Smoker","OPL"
"ESC.1.20.OPL",1278,30,321,0,345,147,0,373,26,5,11,30,1,235,300,306,0,108,0,0,0,20,2,21,147,46,0,26,11,30,0,0,300,1,20,108,0,2,0,1,2,21,147,8,227,305,41,3,1,0,0,0,0,26,0,1,2,19,11,5,0,10,0,0,0,0,0,20,0,0,1,0,1,0,0,1,0,2,1,16,137,8,22,0,10,80,0,19,1,305,0,41,2,136,139,0,0,1,0,0,0,0,0,26,147,61,1,0,19,0,1,8,1,0,0,0,0,0,2,20,16,5,2,0,0,0,1,4,0,0,0,0,0,137,0,40,0,0,26,0,9,36,0,0,0,2,251,8,0,0,11,0,0,124,139,0,0,19,0,2,121,0,0,5,26,55,0,2,0,0,0,2,0,0,0,40,81,0,0,0,61,0,19,5,0,33,1,0,1,30,4,0,0,19,19,19,19,0,1,0,3,19,1,0,0,0,0,2,0,0,0,0,0,"Smoker","OPL"
"ESC.1.37.OPL",1050,111,289,0,395,81,0,170,0,0,4,108,0,255,278,88,0,133,3,1,0,48,7,10,81,34,0,0,4,108,0,0,278,3,48,133,3,0,1,2,7,10,81,2,253,84,30,2,0,0,0,0,0,0,0,0,0,29,1,0,0,8,0,0,0,0,3,48,7,0,0,3,0,0,1,2,0,7,0,10,56,2,47,0,25,93,0,100,2,84,0,30,1,21,226,0,0,0,0,0,0,0,0,0,153,81,0,0,29,0,2,6,0,0,0,3,0,0,7,48,10,2,0,0,0,0,0,0,0,0,0,0,0,56,7,29,0,0,26,3,25,91,0,0,0,10,83,16,0,0,1,0,0,20,226,0,0,100,0,2,126,0,0,1,0,79,1,1,0,0,0,1,0,0,0,67,1,0,0,2,182,0,99,3,0,27,4,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NonSmoker","OPL"
"ESC.1.15.OPL",646,65,196,0,313,40,0,21,0,5,6,43,0,173,195,7,0,135,22,0,0,7,5,1,40,7,0,0,6,43,0,0,195,2,7,135,22,0,0,1,5,1,40,0,173,4,4,2,0,0,1,0,0,0,0,0,0,18,0,1,0,16,0,0,0,0,1,7,3,0,1,22,0,0,0,1,0,5,0,0,19,0,21,0,20,24,0,27,2,4,0,4,0,2,175,0,0,0,0,1,0,0,0,0,146,111,0,0,18,0,2,16,0,0,0,22,0,0,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,19,3,3,0,0,5,1,20,10,8,0,0,3,3,3,0,0,0,0,0,2,175,0,0,27,0,2,141,0,0,0,0,98,1,1,1,0,0,0,0,0,0,74,0,0,0,1,144,1,27,1,1,3,0,0,2,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","OPL"
"ESC.1.19.OPL",2847,410,598,1,759,124,0,899,3,0,53,403,0,506,588,663,1,244,7,0,0,32,9,10,124,204,0,3,53,403,0,0,588,5,32,244,7,4,0,2,9,10,124,5,501,658,196,5,0,0,0,0,0,3,1,1,2,80,0,9,0,8,1,0,0,1,2,32,44,0,3,7,0,0,0,2,2,9,4,1,71,5,73,1,53,88,0,395,4,658,0,196,0,113,392,0,0,0,0,0,0,0,0,3,364,168,1,0,80,0,2,7,0,0,1,7,1,0,9,31,1,10,1,0,1,0,0,0,0,1,0,0,0,71,44,196,0,1,24,2,53,44,2,0,0,2,653,35,0,0,0,0,0,113,392,0,0,395,0,5,339,0,0,0,3,161,1,1,0,0,0,1,0,0,1,135,5,0,0,0,316,2,390,3,0,195,5,0,0,578,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"NonSmoker","OPL"
"ESC.1.56.OPL",1238,108,438,1,474,47,0,147,5,1,14,104,0,109,437,84,1,362,4,0,0,38,3,1,47,25,0,5,14,104,0,0,437,1,38,362,4,6,0,0,3,1,47,1,107,83,25,0,0,0,0,0,0,5,1,0,7,44,0,0,0,28,1,0,0,0,1,38,1,0,0,4,0,0,0,0,0,3,6,1,37,1,62,0,10,22,0,76,0,83,0,25,2,8,381,0,0,0,0,0,0,0,0,5,83,287,0,0,44,1,0,24,0,0,0,4,0,0,3,38,1,4,0,0,0,1,0,0,0,0,0,0,0,37,1,25,0,0,5,1,10,21,25,0,1,12,83,28,0,0,0,0,1,8,381,0,0,76,0,3,77,0,0,0,5,253,0,0,0,0,0,0,0,0,0,212,2,0,0,0,307,0,74,0,0,24,4,0,0,76,17,0,0,2,2,2,2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,"Smoker","OPL"
"ESC.1.39.OPL",1331,132,415,0,426,168,0,170,5,0,15,120,0,117,413,104,0,293,12,0,0,39,16,2,168,27,0,5,15,120,0,0,413,0,39,293,12,2,0,0,16,2,168,0,117,104,26,1,0,0,0,0,0,5,0,0,8,15,2,1,0,71,0,0,0,0,0,39,7,0,0,12,0,0,0,0,0,16,2,1,87,0,71,0,81,7,0,49,1,104,0,26,1,0,398,0,0,0,0,0,0,0,0,5,103,207,0,0,15,0,1,66,0,0,0,12,0,0,16,39,1,1,0,0,0,0,0,2,0,0,0,0,0,87,7,26,0,0,1,0,81,7,18,0,0,19,104,22,0,0,2,0,0,0,398,0,0,49,0,10,102,0,0,0,5,169,0,0,0,0,0,0,0,0,0,145,0,0,0,0,262,0,49,11,0,26,4,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NonSmoker","OPL"
"ESC.1.43.OPL",1971,51,880,1,625,283,0,96,2,4,23,37,1,288,831,40,1,326,14,0,0,31,11,49,283,24,0,2,23,37,1,0,831,3,31,326,14,3,0,0,11,49,283,10,278,36,23,0,0,0,1,0,1,2,1,0,6,196,1,5,0,20,0,1,1,0,0,31,1,0,2,14,2,0,0,0,0,11,3,44,127,10,66,1,156,125,0,15,0,36,0,23,0,53,572,0,0,0,0,1,1,0,1,2,151,242,0,0,196,0,0,20,0,0,0,14,0,0,11,31,44,2,1,0,0,0,2,0,0,0,0,0,0,127,1,18,0,1,28,0,144,122,6,0,1,8,33,11,0,0,1,0,0,43,572,0,0,15,0,7,122,0,1,1,2,227,0,0,1,0,0,0,0,2,0,197,1,0,0,0,382,0,14,4,0,13,9,0,0,31,42,0,0,6,6,6,6,1,4,0,2,6,1,0,0,0,0,0,1,0,0,0,0,"NonSmoker","OPL"
"ESC.1.51.OPL",1702,42,450,0,427,219,0,476,5,24,55,42,0,192,371,274,0,228,0,0,1,70,7,79,219,131,0,5,55,42,0,0,371,1,70,228,0,7,0,0,7,79,219,4,188,273,131,0,0,0,0,0,0,5,0,0,5,92,2,15,0,8,0,0,0,0,0,70,7,0,1,0,0,0,0,0,0,7,5,64,175,4,52,0,43,24,0,34,0,273,0,131,6,109,170,0,0,0,0,0,0,0,0,5,157,154,0,0,92,0,0,8,0,0,0,0,0,0,7,70,64,5,1,0,0,0,0,0,0,0,0,0,0,175,7,86,0,0,6,0,43,24,0,0,0,3,268,10,0,0,2,0,0,104,170,0,0,34,0,4,151,0,0,0,5,150,0,0,0,0,0,0,0,0,0,119,4,0,0,0,98,0,34,1,0,80,11,0,0,264,43,0,0,2,2,2,2,41,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,"NonSmoker","OPL"
"ESC.1.14.OPL",811,26,328,0,216,108,0,98,6,0,14,26,0,77,280,37,0,130,0,0,0,32,9,48,108,29,0,6,14,26,0,0,280,1,32,130,0,2,0,0,9,48,108,7,70,36,29,0,0,0,0,0,0,6,0,0,7,22,12,6,0,14,0,0,0,0,0,32,3,0,1,0,0,0,0,0,0,9,2,42,83,7,35,0,23,1,0,12,0,36,0,29,1,82,173,0,0,0,0,0,0,0,0,6,66,70,0,0,22,0,0,13,0,0,0,0,0,0,9,32,42,3,0,0,0,0,0,0,0,0,0,0,0,83,3,28,0,0,2,0,23,1,0,0,1,1,35,21,0,0,12,0,0,64,173,0,0,12,0,1,64,0,0,7,6,69,0,0,0,0,0,0,0,0,0,58,7,0,0,0,67,1,12,10,37,28,4,0,0,29,8,0,0,13,13,13,13,1,0,1,1,13,0,0,0,0,0,1,0,0,0,0,0,"NonSmoker","OPL"
"ESC.1.67.OPL",1167,46,520,0,382,122,0,53,0,0,44,25,0,83,518,7,0,290,21,0,0,26,9,2,122,20,0,0,44,25,0,0,518,0,26,290,21,2,0,0,9,2,122,0,83,7,20,0,0,0,0,0,0,0,0,0,3,153,1,1,0,18,0,0,0,0,0,26,3,0,0,21,0,0,0,0,0,9,1,1,89,0,45,0,31,2,0,6,0,7,0,20,0,9,349,0,0,0,0,0,0,0,0,0,78,219,0,0,153,0,0,17,0,0,0,21,0,0,9,26,1,4,0,0,0,0,0,0,0,0,0,0,0,89,3,12,0,0,2,0,31,2,21,0,0,11,7,10,0,0,1,0,0,9,349,0,0,6,0,5,76,0,0,0,0,183,0,0,0,0,0,0,0,1,0,167,0,0,0,0,276,1,6,1,0,10,4,0,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","OPL"
"ESC.1.48.OPL",1007,4,43,2,822,4,0,131,0,0,1,4,2,792,28,25,2,30,0,0,0,1,0,14,4,103,1,0,1,4,0,0,28,1,1,30,0,0,0,17,0,14,4,0,792,18,73,13,1,0,0,1,1,0,2,0,0,3,0,11,0,2,0,0,0,1,0,1,1,1,1,0,0,0,0,17,0,0,0,3,4,0,1,4,0,509,0,2,10,18,0,73,0,3,21,0,1,0,0,0,0,1,1,0,278,27,0,0,3,0,10,2,0,0,0,0,1,0,0,1,1,0,10,1,0,0,0,0,0,0,1,2,0,4,1,73,0,4,215,0,0,492,1,1,0,0,14,0,0,0,0,0,0,3,21,0,1,2,0,0,61,0,0,0,0,26,2,1,0,0,1,0,0,1,0,4,0,2,1,4,16,0,2,2,1,9,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","OPL"
"ESC.1.63.OPL",1460,167,84,5,1094,22,0,87,0,0,1,165,1,973,57,14,5,119,2,0,0,9,2,27,22,63,0,0,1,165,0,0,57,4,9,119,2,0,0,28,2,27,22,0,973,4,3,31,1,0,1,0,0,0,5,1,0,9,0,25,0,3,0,0,0,1,0,9,0,0,3,2,1,1,0,28,4,2,0,1,16,0,7,19,6,385,1,160,22,4,1,3,0,1,45,0,0,1,0,1,1,2,0,0,565,109,1,2,9,0,15,3,1,0,0,2,1,0,0,8,0,0,25,0,0,3,1,0,7,4,0,1,1,16,0,3,0,19,218,0,6,361,0,0,0,0,0,0,0,0,0,0,0,1,45,0,0,159,0,0,345,1,0,0,0,109,1,0,0,0,0,0,0,4,6,86,0,0,1,3,18,0,151,0,1,0,0,0,9,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Smoker","OPL"
