"parent","child"
"o__Actinomycetales","f__Microbacteriaceae"
"o__Actinomycetales","f__Mycobacteriaceae"
"o__Actinomycetales","f__Beutenbergiaceae"
"o__Actinomycetales","f__Dermabacteraceae"
"o__Actinomycetales","f__Streptomycetaceae"
"o__Actinomycetales","f__Propionibacteriaceae"
"o__Actinomycetales","f__Nocardiaceae"
"o__Actinomycetales","f__Actinosynnemataceae"
"o__Actinomycetales","f__Geodermatophilaceae"
"o__Actinomycetales","f__ACK-M1"
"o__Actinomycetales","f__Thermomonosporaceae"
"o__Actinomycetales","f__Kineosporiaceae"
"o__Actinomycetales","f__Dietziaceae"
"o__Actinomycetales","f__Yaniellaceae"
"o__Actinomycetales","f__Promicromonosporaceae"
"o__Actinomycetales","f__Nakamurellaceae"
"o__Actinomycetales","f__Dermacoccaceae"
"o__Actinomycetales","f__Sanguibacteraceae"
"o__Actinomycetales","f__Nocardiopsaceae"
"o__Actinomycetales","f__Bogoriellaceae"
"o__Actinomycetales","f__Brevibacteriaceae"
"o__Actinomycetales","f__Pseudonocardiaceae"
"o__Actinomycetales","f__Williamsiaceae"
"o__Actinomycetales","f__Ruaniaceae"
"o__Aeromonadales","f__Succinivibrionaceae"
"o__Aeromonadales","f__Aeromonadaceae"
"o__Alteromonadales","f__OM60"
"o__Alteromonadales","f__Chromatiaceae2"
"o__Alteromonadales","f__Alteromonadaceae"
"o__Alteromonadales","f__Idiomarinaceae"
"o__Alteromonadales","f__Pseudoalteromonadaceae"
"o__Alteromonadales","f__Shewanellaceae"
"o__Alteromonadales","f__Moritellaceae"
"o__Anaerolineales","f__Anaerolinaceae"
"o__Anaeroplasmatales","f__Anaeroplasmataceae"
"o__Aquificales","f__Hydrogenothermaceae"
"o__Armatimonadales","f__Armatimonadaceae"
"o__Bacillales","f__Staphylococcaceae"
"o__Bacillales","f__Paenibacillaceae"
"o__Bacillales","f__Thermoactinomycetaceae"
"o__Bacillales","f__Bacillaceae"
"o__Bacillales","f__Planococcaceae"
"o__Bacillales","f__Sporolactobacillaceae"
"o__Bacillales","f__Listeriaceae"
"o__Bacillales","f__Alicyclobacillaceae"
"o__Bacteroidales","f__Rikenellaceae"
"o__Bacteroidales","f__Paraprevotellaceae"
"o__Bacteroidales","f__Prevotellaceae"
"o__Bacteroidales","f__Barnesiellaceae"
"o__Bacteroidales","f__Bacteroidaceae"
"o__Bacteroidales","f__Porphyromonadaceae"
"o__Bacteroidales","f__S24-7"
"o__Bacteroidales","f__Marinilabiaceae"
"o__Bacteroidales","f__Odoribacteraceae"
"o__Bacteroidales","f__GZKB119"
"o__Bacteroidales","f__BS11"
"o__Bacteroidales","f__p-2534-18B5"
"o__Bdellovibrionales","f__Bacteriovoracaceae"
"o__Bdellovibrionales","f__Bdellovibrionaceae"
"o__Bifidobacteriales","f__Bifidobacteriaceae"
"o__Brachyspirales","f__Brachyspiraceae"
"o__Burkholderiales","f__Oxalobacteraceae"
"o__Burkholderiales","f__Comamonadaceae"
"o__Burkholderiales","f__Burkholderiaceae"
"o__Burkholderiales","f__Alcaligenaceae"
"o__Campylobacterales","f__Campylobacteraceae"
"o__Campylobacterales","f__Helicobacteraceae"
"o__Cardiobacteriales","f__Cardiobacteriaceae"
"o__Caulobacterales","f__Caulobacteraceae"
"o__Cerasicoccales","f__Cerasicoccaceae"
"o__Chlamydiales","f__Chlamydiaceae"
"o__Chlorophyta","f__Trebouxiophyceae"
"o__Chromatiales","f__Ectothiorhodospiraceae"
"o__Chromatiales","f__Chromatiaceae"
"o__Chroococcales","f__Xenococcaceae"
