"parent","child"
"o__Synechococcales","o__Synechococcales"
"o__Synergistales","o__Synergistales"
"o__Syntrophobacterales","o__Syntrophobacterales"
"o__Thermales","o__Thermales"
"o__Thermicanales","o__Thermicanales"
"o__Thermotogales","o__Thermotogales"
"o__Thiobacterales","o__Thiobacterales"
"o__Thiohalorhabdales","o__Thiohalorhabdales"
"o__Thiotrichales","o__Thiotrichales"
"o__Turicibacterales","o__Turicibacterales"
"o__Verrucomicrobiales","o__Verrucomicrobiales"
"o__Vibrionales","o__Vibrionales"
"o__Victivallales","o__Victivallales"
"o__WCHB1-41","o__WCHB1-41"
"o__Xanthomonadales","o__Xanthomonadales"
"o__YCC11","o__YCC11"
"o__YS2","o__YS2"
"o__Z20","o__Z20"
"f__0319-6G20","f__0319-6G20"
"f__Acetobacteraceae","f__Acetobacteraceae"
"f__Acholeplasmataceae","f__Acholeplasmataceae"
"f__Acidobacteriaceae","f__Acidobacteriaceae"
"f__ACK-M1","f__ACK-M1"
"f__Actinomycetaceae","f__Actinomycetaceae"
"f__Actinosynnemataceae","f__Actinosynnemataceae"
"f__Aerococcaceae","f__Aerococcaceae"
"f__Aeromonadaceae","f__Aeromonadaceae"
"f__Alcaligenaceae","f__Alcaligenaceae"
"f__Alcanivoracaceae","f__Alcanivoracaceae"
"f__Alicyclobacillaceae","f__Alicyclobacillaceae"
"f__Alteromonadaceae","f__Alteromonadaceae"
"f__Anaerolinaceae","f__Anaerolinaceae"
"f__Anaeroplasmataceae","f__Anaeroplasmataceae"
"f__Armatimonadaceae","f__Armatimonadaceae"
"f__Aurantimonadaceae","f__Aurantimonadaceae"
"f__Bacillaceae","f__Bacillaceae"
"f__Bacteriovoracaceae","f__Bacteriovoracaceae"
"f__Bacteroidaceae","f__Bacteroidaceae"
"f__Barnesiellaceae","f__Barnesiellaceae"
"f__Bdellovibrionaceae","f__Bdellovibrionaceae"
"f__Beijerinckiaceae","f__Beijerinckiaceae"
"f__Beutenbergiaceae","f__Beutenbergiaceae"
"f__Bifidobacteriaceae","f__Bifidobacteriaceae"
"f__Blattabacteriaceae","f__Blattabacteriaceae"
"f__Bogoriellaceae","f__Bogoriellaceae"
"f__Brachyspiraceae","f__Brachyspiraceae"
"f__Bradyrhizobiaceae","f__Bradyrhizobiaceae"
"f__Brevibacteriaceae","f__Brevibacteriaceae"
"f__Brucellaceae","f__Brucellaceae"
"f__BS11","f__BS11"
"f__Burkholderiaceae","f__Burkholderiaceae"
"f__C111","f__C111"
"f__Campylobacteraceae","f__Campylobacteraceae"
"f__Cardiobacteriaceae","f__Cardiobacteriaceae"
"f__Carnobacteriaceae","f__Carnobacteriaceae"
"f__Catabacteriaceae","f__Catabacteriaceae"
"f__Caulobacteraceae","f__Caulobacteraceae"
"f__Cellulomonadaceae","f__Cellulomonadaceae"
"f__Cerasicoccaceae","f__Cerasicoccaceae"
"f__Chitinophagaceae","f__Chitinophagaceae"
"f__Chlamydiaceae","f__Chlamydiaceae"
"f__Christensenellaceae","f__Christensenellaceae"
"f__Chromatiaceae","f__Chromatiaceae"
"f__Chromatiaceae2","f__Chromatiaceae2"
"f__Chthoniobacteraceae","f__Chthoniobacteraceae"
"f__Chthonomonadaceae","f__Chthonomonadaceae"
"f__Clostridiaceae","f__Clostridiaceae"
"f__Comamonadaceae","f__Comamonadaceae"
"f__Conexibacteraceae","f__Conexibacteraceae"
"f__Coprobacillaceae","f__Coprobacillaceae"
"f__Coriobacteriaceae","f__Coriobacteriaceae"
"f__Corynebacteriaceae","f__Corynebacteriaceae"
"f__Coxiellaceae","f__Coxiellaceae"
"f__Cryomorphaceae","f__Cryomorphaceae"
"f__Cyclobacteriaceae","f__Cyclobacteriaceae"
"f__Dehalobacteriaceae","f__Dehalobacteriaceae"
"f__Deinococcaceae","f__Deinococcaceae"
"f__Dermabacteraceae","f__Dermabacteraceae"
"f__Dermacoccaceae","f__Dermacoccaceae"
"f__Desulfobacteraceae","f__Desulfobacteraceae"
"f__Desulfobulbaceae","f__Desulfobulbaceae"
"f__Desulfomicrobiaceae","f__Desulfomicrobiaceae"
"f__Desulfovibrionaceae","f__Desulfovibrionaceae"
"f__Dethiosulfovibrionaceae","f__Dethiosulfovibrionaceae"
"f__Dietziaceae","f__Dietziaceae"
"f__EB1017","f__EB1017"
"f__Ectothiorhodospiraceae","f__Ectothiorhodospiraceae"
"f__Ellin517","f__Ellin517"
"f__Ellin5301","f__Ellin5301"
"f__Endozoicimonaceae","f__Endozoicimonaceae"
"f__Enterobacteriaceae","f__Enterobacteriaceae"
"f__Enterococcaceae","f__Enterococcaceae"
"f__Erysipelotrichaceae","f__Erysipelotrichaceae"
"f__Erythrobacteraceae","f__Erythrobacteraceae"
"f__Eubacteriaceae","f__Eubacteriaceae"
"f__Exiguobacteraceae","f__Exiguobacteraceae"
"f__F16","f__F16"
"f__Fimbriimonadaceae","f__Fimbriimonadaceae"
"f__Flammeovirgaceae","f__Flammeovirgaceae"
"f__Flavobacteriaceae","f__Flavobacteriaceae"
"f__Flexibacteraceae","f__Flexibacteraceae"
"f__Fusobacteriaceae","f__Fusobacteriaceae"
"f__Gaiellaceae","f__Gaiellaceae"
"f__Gallionellaceae","f__Gallionellaceae"
"f__Gemellaceae","f__Gemellaceae"
"f__Gemmatimonadaceae","f__Gemmatimonadaceae"
"f__Geodermatophilaceae","f__Geodermatophilaceae"
"f__Gordoniaceae","f__Gordoniaceae"
"f__GZKB119","f__GZKB119"
"f__Halomonadaceae","f__Halomonadaceae"
"f__Helicobacteraceae","f__Helicobacteraceae"
"f__Herpetosiphonaceae","f__Herpetosiphonaceae"
"f__Holophagaceae","f__Holophagaceae"
"f__HTCC2188","f__HTCC2188"
"f__Hydrogenothermaceae","f__Hydrogenothermaceae"
"f__Hyphomicrobiaceae","f__Hyphomicrobiaceae"
"f__Hyphomonadaceae","f__Hyphomonadaceae"
"f__Idiomarinaceae","f__Idiomarinaceae"
"f__Intrasporangiaceae","f__Intrasporangiaceae"
"f__Isosphaeraceae","f__Isosphaeraceae"
"f__Kineosporiaceae","f__Kineosporiaceae"
"f__koll13","f__koll13"
"f__Koribacteraceae","f__Koribacteraceae"
"f__Lachnospiraceae","f__Lachnospiraceae"
"f__Lactobacillaceae","f__Lactobacillaceae"
"f__Legionellaceae","f__Legionellaceae"
"f__Leptotrichiaceae","f__Leptotrichiaceae"
"f__Leuconostocaceae","f__Leuconostocaceae"
"f__Listeriaceae","f__Listeriaceae"
"f__Marinilabiaceae","f__Marinilabiaceae"
"f__Methylobacteriaceae","f__Methylobacteriaceae"
"f__Methylococcaceae","f__Methylococcaceae"
"f__Methylocystaceae","f__Methylocystaceae"
"f__Methylophilaceae","f__Methylophilaceae"
"f__Microbacteriaceae","f__Microbacteriaceae"
"f__Micrococcaceae","f__Micrococcaceae"
"f__Micromonosporaceae","f__Micromonosporaceae"
"f__mitochondria","f__mitochondria"
"f__Moraxellaceae","f__Moraxellaceae"
"f__Moritellaceae","f__Moritellaceae"
"f__Mycobacteriaceae","f__Mycobacteriaceae"
"f__Mycoplasmataceae","f__Mycoplasmataceae"
"f__Myxococcaceae","f__Myxococcaceae"
"f__Nakamurellaceae","f__Nakamurellaceae"
"f__Neisseriaceae","f__Neisseriaceae"
"f__Nitriliruptoraceae","f__Nitriliruptoraceae"
"f__Nitrosomonadaceae","f__Nitrosomonadaceae"
"f__Nocardiaceae","f__Nocardiaceae"
"f__Nocardioidaceae","f__Nocardioidaceae"
"f__Nocardiopsaceae","f__Nocardiopsaceae"
"f__Oceanospirillaceae","f__Oceanospirillaceae"
"f__Odoribacteraceae","f__Odoribacteraceae"
"f__Oleiphilaceae","f__Oleiphilaceae"
"f__OM60","f__OM60"
"f__Opitutaceae","f__Opitutaceae"
"f__Oxalobacteraceae","f__Oxalobacteraceae"
"f__p-2534-18B5","f__p-2534-18B5"
"f__Paenibacillaceae","f__Paenibacillaceae"
"f__Paraprevotellaceae","f__Paraprevotellaceae"
"f__Pasteurellaceae","f__Pasteurellaceae"
"f__Patulibacteraceae","f__Patulibacteraceae"
"f__Peptococcaceae","f__Peptococcaceae"
"f__Peptostreptococcaceae","f__Peptostreptococcaceae"
"f__Phormidiaceae","f__Phormidiaceae"
"f__Phyllobacteriaceae","f__Phyllobacteriaceae"
"f__Pirellulaceae","f__Pirellulaceae"
"f__Piscirickettsiaceae","f__Piscirickettsiaceae"
"f__Planococcaceae","f__Planococcaceae"
"f__Polyangiaceae","f__Polyangiaceae"
"f__Porphyromonadaceae","f__Porphyromonadaceae"
"f__Prevotellaceae","f__Prevotellaceae"
"f__Procabacteriaceae","f__Procabacteriaceae"
"f__Promicromonosporaceae","f__Promicromonosporaceae"
"f__Propionibacteriaceae","f__Propionibacteriaceae"
"f__Pseudoalteromonadaceae","f__Pseudoalteromonadaceae"
"f__Pseudomonadaceae","f__Pseudomonadaceae"
"f__Pseudonocardiaceae","f__Pseudonocardiaceae"
"f__R4-45B","f__R4-45B"
"f__RFP12","f__RFP12"
"f__Rhizobiaceae","f__Rhizobiaceae"
"f__Rhodobacteraceae","f__Rhodobacteraceae"
"f__Rhodobiaceae","f__Rhodobiaceae"
"f__Rhodocyclaceae","f__Rhodocyclaceae"
"f__Rhodospirillaceae","f__Rhodospirillaceae"
"f__Rickettsiaceae","f__Rickettsiaceae"
"f__Rikenellaceae","f__Rikenellaceae"
"f__Rs-045","f__Rs-045"
"f__Ruaniaceae","f__Ruaniaceae"
"f__Rubrobacteraceae","f__Rubrobacteraceae"
"f__Ruminococcaceae","f__Ruminococcaceae"
"f__S24-7","f__S24-7"
"f__Saccharospirillaceae","f__Saccharospirillaceae"
"f__Sanguibacteraceae","f__Sanguibacteraceae"
"f__Saprospiraceae","f__Saprospiraceae"
"f__Shewanellaceae","f__Shewanellaceae"
"f__Sinobacteraceae","f__Sinobacteraceae"
"f__Solibacteraceae","f__Solibacteraceae"
"f__Solirubrobacteraceae","f__Solirubrobacteraceae"
"f__Sphingobacteriaceae","f__Sphingobacteriaceae"
"f__Sphingomonadaceae","f__Sphingomonadaceae"
"f__Spirochaetaceae","f__Spirochaetaceae"
"f__Sporolactobacillaceae","f__Sporolactobacillaceae"
"f__Staphylococcaceae","f__Staphylococcaceae"
"f__Streptococcaceae","f__Streptococcaceae"
"f__Streptomycetaceae","f__Streptomycetaceae"
"f__Succinivibrionaceae","f__Succinivibrionaceae"
"f__SUP05","f__SUP05"
"f__Symbiobacteriaceae","f__Symbiobacteriaceae"
"f__Synechococcaceae","f__Synechococcaceae"
"f__Synergistaceae","f__Synergistaceae"
"f__Syntrophobacteraceae","f__Syntrophobacteraceae"
"f__Thermaceae","f__Thermaceae"
"f__Thermicanaceae","f__Thermicanaceae"
"f__Thermoactinomycetaceae","f__Thermoactinomycetaceae"
"f__Thermomonosporaceae","f__Thermomonosporaceae"
"f__Thermotogaceae","f__Thermotogaceae"
"f__Thiohalorhabdaceae","f__Thiohalorhabdaceae"
"f__Thiotrichaceae","f__Thiotrichaceae"
"f__Trebouxiophyceae","f__Trebouxiophyceae"
"f__Turicibacteraceae","f__Turicibacteraceae"
"f__Veillonellaceae","f__Veillonellaceae"
"f__Verrucomicrobiaceae","f__Verrucomicrobiaceae"
"f__Vibrionaceae","f__Vibrionaceae"
"f__Victivallaceae","f__Victivallaceae"
"f__WCHB1-25","f__WCHB1-25"
"f__Williamsiaceae","f__Williamsiaceae"
"f__Xanthobacteraceae","f__Xanthobacteraceae"
"f__Xanthomonadaceae","f__Xanthomonadaceae"
"f__Xenococcaceae","f__Xenococcaceae"
"f__Yaniellaceae","f__Yaniellaceae"
"g__5-7N15","g__5-7N15"
"g__A4","g__A4"
"g__Abiotrophia","g__Abiotrophia"
"g__Acholeplasma","g__Acholeplasma"
"g__Achromobacter","g__Achromobacter"
"g__Acidaminococcus","g__Acidaminococcus"
"g__Acidocella","g__Acidocella"
"g__Acidovorax","g__Acidovorax"
"g__Acinetobacter","g__Acinetobacter"
"g__Actinobacillus","g__Actinobacillus"
"g__Actinobaculum","g__Actinobaculum"
"g__Actinomyces","g__Actinomyces"
"g__Actinomycetospora","g__Actinomycetospora"
"g__Actinoplanes","g__Actinoplanes"
"g__Actinotalea","g__Actinotalea"
"g__Adlercreutzia","g__Adlercreutzia"
"g__Aerococcus","g__Aerococcus"
"g__Aeromicrobium","g__Aeromicrobium"
"g__Aggregatibacter","g__Aggregatibacter"
"g__Agrobacterium","g__Agrobacterium"
"g__Agrococcus","g__Agrococcus"
"g__Agromyces","g__Agromyces"
"g__Akkermansia","g__Akkermansia"
"g__Alcanivorax","g__Alcanivorax"
"g__Alicycliphilus","g__Alicycliphilus"
"g__Alicyclobacillus","g__Alicyclobacillus"
"g__Alishewanella","g__Alishewanella"
"g__Alkalibacterium","g__Alkalibacterium"
"g__Alkanindiges","g__Alkanindiges"
"g__Allobaculum","g__Allobaculum"
"g__Alloiococcus","g__Alloiococcus"
"g__Alloscardovia","g__Alloscardovia"
"g__Alteromonas","g__Alteromonas"
"g__Amaricoccus","g__Amaricoccus"
"g__Aminobacter","g__Aminobacter"
"g__Anaerococcus","g__Anaerococcus"
"g__Anaerofustis","g__Anaerofustis"
"g__Anaeromyxobacter","g__Anaeromyxobacter"
"g__Anaerostipes","g__Anaerostipes"
"g__Anaerotruncus","g__Anaerotruncus"
"g__Anoxybacillus","g__Anoxybacillus"
"g__Arcanobacterium","g__Arcanobacterium"
"g__Arthrobacter","g__Arthrobacter"
"g__Arthrospira","g__Arthrospira"
"g__Atopobium","g__Atopobium"
"g__Avibacterium","g__Avibacterium"
"g__Azoarcus","g__Azoarcus"
"g__Azorhizophilus","g__Azorhizophilus"
"g__Azospira","g__Azospira"
"g__Azospirillum","g__Azospirillum"
"g__Bacillus","g__Bacillus"
"g__Bacteriovorax","g__Bacteriovorax"
"g__Bacteroides","g__Bacteroides"
"g__Balneimonas","g__Balneimonas"
"g__Bdellovibrio","g__Bdellovibrio"
"g__Bergeyella","g__Bergeyella"
"g__BF311","g__BF311"
"g__Bifidobacterium","g__Bifidobacterium"
"g__Bilophila","g__Bilophila"
"g__Blastomonas","g__Blastomonas"
"g__Blautia","g__Blautia"
"g__Brachybacterium","g__Brachybacterium"
"g__Brachyspira","g__Brachyspira"
"g__Bradyrhizobium","g__Bradyrhizobium"
"g__Brevibacillus","g__Brevibacillus"
"g__Brevibacterium","g__Brevibacterium"
"g__Brevundimonas","g__Brevundimonas"
"g__Bulleidia","g__Bulleidia"
"g__Burkholderia","g__Burkholderia"
"g__Butyricimonas","g__Butyricimonas"
"g__Butyrivibrio","g__Butyrivibrio"
"g__C39","g__C39"
"g__Caloramator","g__Caloramator"
"g__Campylobacter","g__Campylobacter"
"g__Candidatus Accumulibacter","g__Candidatus Accumulibacter"
"g__Candidatus Aquiluna","g__Candidatus Aquiluna"
"g__Candidatus Azobacteroides","g__Candidatus Azobacteroides"
"g__Candidatus Koribacter","g__Candidatus Koribacter"
"g__Candidatus Phytoplasma","g__Candidatus Phytoplasma"
"g__Candidatus Portiera","g__Candidatus Portiera"
"g__Candidatus Solibacter","g__Candidatus Solibacter"
"g__Candidatus Xiphinematobacter","g__Candidatus Xiphinematobacter"
"g__Capnocytophaga","g__Capnocytophaga"
"g__Cardiobacterium","g__Cardiobacterium"
"g__Catenibacterium","g__Catenibacterium"
"g__Catonella","g__Catonella"
"g__Caulobacter","g__Caulobacter"
"g__cc_115","g__cc_115"
"g__Cellulomonas","g__Cellulomonas"
"g__Cellulosimicrobium","g__Cellulosimicrobium"
"g__Cellvibrio","g__Cellvibrio"
"g__CF231","g__CF231"
"g__Chelonobacter","g__Chelonobacter"
"g__Chitinophaga","g__Chitinophaga"
"g__Chlamydia","g__Chlamydia"
"g__Chromobacterium","g__Chromobacterium"
"g__Chryseobacterium","g__Chryseobacterium"
"g__Chthonomonas","g__Chthonomonas"
"g__Citrobacter","g__Citrobacter"
"g__Cloacibacillus","g__Cloacibacillus"
"g__Clostridium","g__Clostridium"
"g__Cohnella","g__Cohnella"
"g__Collimonas","g__Collimonas"
"g__Collinsella","g__Collinsella"
"g__Comamonas","g__Comamonas"
"g__Conchiformibius","g__Conchiformibius"
"g__Congregibacter","g__Congregibacter"
"g__Coprobacillus","g__Coprobacillus"
"g__Coprococcus","g__Coprococcus"
"g__Corynebacterium","g__Corynebacterium"
"g__Cryobacterium","g__Cryobacterium"
"g__Cryocola","g__Cryocola"
"g__Cupriavidus","g__Cupriavidus"
"g__Curtobacterium","g__Curtobacterium"
"g__DA101","g__DA101"
"g__Dechloromonas","g__Dechloromonas"
"g__Dehalobacterium","g__Dehalobacterium"
"g__Deinococcus","g__Deinococcus"
"g__Delftia","g__Delftia"
"g__Demequina","g__Demequina"
"g__Dermabacter","g__Dermabacter"
"g__Dermacoccus","g__Dermacoccus"
"g__Desemzia","g__Desemzia"
"g__Desulfococcus","g__Desulfococcus"
"g__Desulfomicrobium","g__Desulfomicrobium"
"g__Desulfotomaculum","g__Desulfotomaculum"
"g__Desulfovibrio","g__Desulfovibrio"
"g__Devosia","g__Devosia"
"g__Dialister","g__Dialister"
"g__Dickeya","g__Dickeya"
"g__Dietzia","g__Dietzia"
"g__Dok59","g__Dok59"
"g__Dorea","g__Dorea"
"g__Dyadobacter","g__Dyadobacter"
"g__Dysgonomonas","g__Dysgonomonas"
"g__Edwardsiella","g__Edwardsiella"
"g__Eggerthella","g__Eggerthella"
"g__Eikenella","g__Eikenella"
"g__Emticicia","g__Emticicia"
"g__Enhydrobacter","g__Enhydrobacter"
"g__Enterobacter","g__Enterobacter"
"g__Enterococcus","g__Enterococcus"
"g__Erwinia","g__Erwinia"
"g__Erythromicrobium","g__Erythromicrobium"
"g__Escherichia","g__Escherichia"
"g__Eubacterium","g__Eubacterium"
"g__Eubacterium2","g__Eubacterium2"
"g__Exiguobacterium","g__Exiguobacterium"
"g__Facklamia","g__Facklamia"
"g__Faecalibacterium","g__Faecalibacterium"
"g__Fervidobacterium","g__Fervidobacterium"
"g__Filifactor","g__Filifactor"
"g__Fimbriimonas","g__Fimbriimonas"
"g__Finegoldia","g__Finegoldia"
"g__Flavisolibacter","g__Flavisolibacter"
"g__Flavobacterium","g__Flavobacterium"
"g__Flectobacillus","g__Flectobacillus"
"g__Frigoribacterium","g__Frigoribacterium"
"g__Fructobacillus","g__Fructobacillus"
"g__Fusibacter","g__Fusibacter"
"g__Fusobacterium","g__Fusobacterium"
"g__Gallibacterium","g__Gallibacterium"
"g__Gallionella","g__Gallionella"
"g__Gardnerella","g__Gardnerella"
"g__Gemella","g__Gemella"
"g__Gemmatimonas","g__Gemmatimonas"
"g__Geobacillus","g__Geobacillus"
"g__Geodermatophilus","g__Geodermatophilus"
"g__Georgenia","g__Georgenia"
"g__Geothrix","g__Geothrix"
"g__Glaciecola","g__Glaciecola"
"g__Gordonia","g__Gordonia"
"g__Granulicatella","g__Granulicatella"
"g__Haemophilus","g__Haemophilus"
"g__Helcococcus","g__Helcococcus"
"g__Herbaspirillum","g__Herbaspirillum"
"g__Herminiimonas","g__Herminiimonas"
"g__Herpetosiphon","g__Herpetosiphon"
"g__heteroC45_4W","g__heteroC45_4W"
"g__Holdemania","g__Holdemania"
"g__HTCC","g__HTCC"
"g__Hydrogenophaga","g__Hydrogenophaga"
"g__Hydrogenophilus","g__Hydrogenophilus"
"g__Hymenobacter","g__Hymenobacter"
"g__Hyphomicrobium","g__Hyphomicrobium"
"g__Idiomarina","g__Idiomarina"
"g__Janibacter","g__Janibacter"
"g__Janthinobacterium","g__Janthinobacterium"
"g__Jeotgalicoccus","g__Jeotgalicoccus"
"g__Jiangella","g__Jiangella"
"g__K82","g__K82"
"g__Kaistella","g__Kaistella"
"g__Kaistobacter","g__Kaistobacter"
"g__KD1-23","g__KD1-23"
"g__Kingella","g__Kingella"
"g__Klebsiella","g__Klebsiella"
"g__Kocuria","g__Kocuria"
"g__Lachnobacterium","g__Lachnobacterium"
"g__Lachnospira","g__Lachnospira"
"g__Lactobacillus","g__Lactobacillus"
"g__Lactococcus","g__Lactococcus"
"g__Lampropedia","g__Lampropedia"
"g__Lautropia","g__Lautropia"
"g__Legionella","g__Legionella"
"g__Leptotrichia","g__Leptotrichia"
"g__Leucobacter","g__Leucobacter"
"g__Leuconostoc","g__Leuconostoc"
"g__Leucothrix","g__Leucothrix"
"g__Limnohabitans","g__Limnohabitans"
"g__Luteolibacter","g__Luteolibacter"
"g__Lysinibacillus","g__Lysinibacillus"
"g__Lysobacter","g__Lysobacter"
"g__Macrococcus","g__Macrococcus"
"g__Mannheimia","g__Mannheimia"
"g__Marinomonas","g__Marinomonas"
"g__Megamonas","g__Megamonas"
"g__Megasphaera","g__Megasphaera"
"g__Meiothermus","g__Meiothermus"
"g__Melissococcus","g__Melissococcus"
"g__Mesorhizobium","g__Mesorhizobium"
"g__Methylibium","g__Methylibium"
"g__Methylobacillus","g__Methylobacillus"
"g__Methylobacterium","g__Methylobacterium"
"g__Methylophaga","g__Methylophaga"
"g__Methylotenera","g__Methylotenera"
"g__Microbacterium","g__Microbacterium"
"g__Micrococcus","g__Micrococcus"
"g__Mobiluncus","g__Mobiluncus"
"g__Mogibacterium","g__Mogibacterium"
"g__Moraxella","g__Moraxella"
"g__Morganella","g__Morganella"
"g__Moryella","g__Moryella"
"g__Mycobacterium","g__Mycobacterium"
"g__Mycoplana","g__Mycoplana"
"g__Mycoplasma","g__Mycoplasma"
"g__Myroides","g__Myroides"
"g__Myxococcus","g__Myxococcus"
"g__Negativicoccus","g__Negativicoccus"
"g__Neisseria","g__Neisseria"
"g__Nesterenkonia","g__Nesterenkonia"
"g__Nevskia","g__Nevskia"
"g__Nocardioides","g__Nocardioides"
"g__Novosphingobium","g__Novosphingobium"
"g__Oceanicaulis","g__Oceanicaulis"
"g__Oceanobacillus","g__Oceanobacillus"
"g__Odoribacter","g__Odoribacter"
"g__Oleibacter","g__Oleibacter"
"g__Oligella","g__Oligella"
"g__Olsenella","g__Olsenella"
"g__Opitutus","g__Opitutus"
"g__Oribacterium","g__Oribacterium"
"g__Oscillospira","g__Oscillospira"
"g__Oxalobacter","g__Oxalobacter"
"g__Paenibacillus","g__Paenibacillus"
"g__Paludibacter","g__Paludibacter"
"g__Parabacteroides","g__Parabacteroides"
"g__Paracoccus","g__Paracoccus"
"g__Paraprevotella","g__Paraprevotella"
"g__Parascardovia","g__Parascardovia"
"g__Pasteurella","g__Pasteurella"
"g__Paucibacter","g__Paucibacter"
"g__Pectinatus","g__Pectinatus"
"g__Pediococcus","g__Pediococcus"
"g__Pedobacter","g__Pedobacter"
"g__Pedomicrobium","g__Pedomicrobium"
"g__Peptococcus","g__Peptococcus"
"g__Peptoniphilus","g__Peptoniphilus"
"g__Peptostreptococcus","g__Peptostreptococcus"
"g__Phascolarctobacterium","g__Phascolarctobacterium"
"g__Phenylobacterium","g__Phenylobacterium"
"g__Phycicoccus","g__Phycicoccus"
"g__Phyllobacterium","g__Phyllobacterium"
"g__Pilimelia","g__Pilimelia"
"g__Pirellula","g__Pirellula"
"g__Planococcus","g__Planococcus"
"g__Planomicrobium","g__Planomicrobium"
"g__Plesiomonas","g__Plesiomonas"
"g__Polaromonas","g__Polaromonas"
"g__Polynucleobacter","g__Polynucleobacter"
"g__Porphyromonas","g__Porphyromonas"
"g__Prevotella","g__Prevotella"
"g__Prevotella2","g__Prevotella2"
"g__Prochlorococcus","g__Prochlorococcus"
"g__Propionibacterium","g__Propionibacterium"
"g__Propionivibrio","g__Propionivibrio"
"g__Proteus","g__Proteus"
"g__Providencia","g__Providencia"
"g__Pseudidiomarina","g__Pseudidiomarina"
"g__Pseudoalteromonas","g__Pseudoalteromonas"
"g__Pseudobutyrivibrio","g__Pseudobutyrivibrio"
"g__Pseudoclavibacter","g__Pseudoclavibacter"
"g__Pseudomonas","g__Pseudomonas"
"g__Pseudonocardia","g__Pseudonocardia"
"g__Pseudoramibacter","g__Pseudoramibacter"
"g__Pseudoxanthomonas","g__Pseudoxanthomonas"
"g__Psychrobacter","g__Psychrobacter"
"g__Pullulanibacillus","g__Pullulanibacillus"
"g__Pyramidobacter","g__Pyramidobacter"
"g__Ralstonia","g__Ralstonia"
"g__Ramlibacter","g__Ramlibacter"
"g__Rathayibacter","g__Rathayibacter"
"g__rc4-4","g__rc4-4"
"g__Reinekea","g__Reinekea"
"g__Renibacterium","g__Renibacterium"
"g__RFN20","g__RFN20"
"g__Rheinheimera","g__Rheinheimera"
"g__Rhizobium","g__Rhizobium"
"g__Rhodobaca","g__Rhodobaca"
"g__Rhodobacter","g__Rhodobacter"
"g__Rhodococcus","g__Rhodococcus"
"g__Rhodoferax","g__Rhodoferax"
"g__Rhodoplanes","g__Rhodoplanes"
"g__Rickettsia","g__Rickettsia"
"g__Rikenella","g__Rikenella"
"g__Roseateles","g__Roseateles"
"g__Roseburia","g__Roseburia"
"g__Roseomonas","g__Roseomonas"
"g__Rothia","g__Rothia"
"g__RS62","g__RS62"
"g__Rubrivivax","g__Rubrivivax"
"g__Rubrobacter","g__Rubrobacter"
"g__Ruminobacter","g__Ruminobacter"
"g__Ruminococcus","g__Ruminococcus"
"g__Ruminococcus2","g__Ruminococcus2"
"g__Rummeliibacillus","g__Rummeliibacillus"
"g__Saccharopolyspora","g__Saccharopolyspora"
"g__Salinibacterium","g__Salinibacterium"
"g__Salinicoccus","g__Salinicoccus"
"g__Salinimonas","g__Salinimonas"
"g__Salinispora","g__Salinispora"
"g__Salinivibrio","g__Salinivibrio"
"g__Sanguibacter","g__Sanguibacter"
"g__Sarcina","g__Sarcina"
"g__Schlegelella","g__Schlegelella"
"g__Sejongia","g__Sejongia"
"g__Selenomonas","g__Selenomonas"
"g__Serratia","g__Serratia"
"g__Sharpea","g__Sharpea"
"g__SHD-231","g__SHD-231"
"g__Shewanella","g__Shewanella"
"g__Shuttleworthia","g__Shuttleworthia"
"g__Simplicispira","g__Simplicispira"
"g__Sinomonas","g__Sinomonas"
"g__Skermanella","g__Skermanella"
"g__Slackia","g__Slackia"
"g__Sneathia","g__Sneathia"
"g__Sodalis","g__Sodalis"
"g__Solibacillus","g__Solibacillus"
"g__Solirubrobacter","g__Solirubrobacter"
"g__Sphingobacterium","g__Sphingobacterium"
"g__Sphingobium","g__Sphingobium"
"g__Sphingomonas","g__Sphingomonas"
"g__Sphingopyxis","g__Sphingopyxis"
"g__Spirosoma","g__Spirosoma"
"g__Spongiibacter","g__Spongiibacter"
"g__Sporolactobacillus","g__Sporolactobacillus"
"g__Sporosarcina","g__Sporosarcina"
"g__Staphylococcus","g__Staphylococcus"
"g__Stenotrophomonas","g__Stenotrophomonas"
"g__Streptobacillus","g__Streptobacillus"
"g__Streptococcus","g__Streptococcus"
"g__Streptomyces","g__Streptomyces"
"g__Succiniclasticum","g__Succiniclasticum"
"g__Succinivibrio","g__Succinivibrio"
"g__Sulfuritalea","g__Sulfuritalea"
"g__Sulfurospirillum","g__Sulfurospirillum"
"g__Sutterella","g__Sutterella"
"g__Symbiobacterium","g__Symbiobacterium"
"g__Synergistes","g__Synergistes"
"g__Tepidimonas","g__Tepidimonas"
"g__Terracoccus","g__Terracoccus"
"g__Tetragenococcus","g__Tetragenococcus"
"g__TG5","g__TG5"
"g__Thauera","g__Thauera"
"g__Thermicanus","g__Thermicanus"
"g__Thermoactinomyces","g__Thermoactinomyces"
"g__Thermoanaerobacterium","g__Thermoanaerobacterium"
"g__Thermomonas","g__Thermomonas"
"g__Thermus","g__Thermus"
"g__Thiothrix","g__Thiothrix"
"g__Tolumonas","g__Tolumonas"
"g__Trabulsiella","g__Trabulsiella"
"g__Treponema","g__Treponema"
"g__Trichococcus","g__Trichococcus"
"g__Turicibacter","g__Turicibacter"
"g__Uliginosibacterium","g__Uliginosibacterium"
