"","SampleID","BodySite","PersonalID","WeeksSinceStart"
"1798","G10928","gut","NAU114","1"
"1953","G10929","gut","NAU121","2"
"2041","G10931","gut","NAU124","0"
"2781","G10932","gut","NAU155","2"
"2367","G10934","gut","NAU139","0"
"1952","G10936","gut","NAU121","1"
"2135","G10937","gut","NAU130","1"
"1606","G10939","gut","NAU106","2"
"2817","G10940","gut","NAU156","1"
"2555","G10941","gut","NAU148","1"
"2656","G10944","gut","NAU150","0"
"2333","G10945","gut","NAU137","9"
"1999","G10948","gut","NAU123","1"
"1574","G10950","gut","NAU105","1"
"1063","G10952","gut","CUB044","0.5"
"3025","G10954","gut","NAU164","1"
"1575","G10956","gut","NAU105","2"
"1797","G10959","gut","NAU114","0"
"1877","G10960","gut","NAU117","1"
"2005","G10961","gut","NAU123","8"
"1876","G10962","gut","NAU117","0"
"2421","G10963","gut","NAU144","0"
"1679","G10964","gut","NAU108","2"
"2740","G10965","gut","NAU154","1"
"1273","G10966","gut","CUB052","0.5"
"365","G10967","gut","CUB010","0.5"
"1804","G10968","gut","NAU114","8"
"1573","G10969","gut","NAU105","0"
"3024","G10970","gut","NAU164","0"
"2374","G10972","gut","NAU139","8"
"1951","G10974","gut","NAU121","0"
"1604","G10975","gut","NAU106","0"
"2903","G10976","gut","NAU159","0"
"1749","G10978","gut","NAU110","1"
"1913","G10980","gut","NAU119","1"
"1643","G10982","gut","NAU107","0"
"1912","G10983","gut","NAU119","0"
"2375","G10986","gut","NAU139","9"
"1478","G10989","gut","NAU101","2"
"2747","G10990","gut","NAU154","9"
"2088","G10992","gut","NAU129","1"
"1710","G10993","gut","NAU109","2"
"2332","G10994","gut","NAU137","8"
"1748","G10995","gut","NAU110","0"
"2852","G10997","gut","NAU157","0"
"1914","G10998","gut","NAU119","2"
"2556","G11001","gut","NAU148","2"
"1753","G11002","gut","NAU110","5"
"2819","G11003","gut","NAU156","3"
"2328","G11004","gut","NAU137","3"
"1958","G11005","gut","NAU121","8"
"2782","G11006","gut","NAU155","3"
"2858","G11007","gut","NAU157","6"
"2288","G11008","gut","NAU136","3"
"2183","G11009","gut","NAU132","6"
"1754","G11010","gut","NAU110","6"
"2471","G11012","gut","NAU146","5"
"2947","G11013","gut","NAU160","3"
"2002","G11014","gut","NAU123","4"
"2822","G11015","gut","NAU156","8"
"1918","G11016","gut","NAU119","8"
"2047","G11018","gut","NAU124","6"
"2140","G11019","gut","NAU130","7"
"1752","G11023","gut","NAU110","4"
"2220","G11027","gut","NAU133","3"
"3030","G11030","gut","NAU164","6"
"3027","G11034","gut","NAU164","3"
"1611","G11045","gut","NAU106","8"
"2180","G11047","gut","NAU132","3"
"2746","G11052","gut","NAU154","8"
"1647","G11062","gut","NAU107","4"
"2048","G11063","gut","NAU124","8"
"2044","G11065","gut","NAU124","3"
"2820","G11070","gut","NAU156","4"
"2659","G11079","gut","NAU150","3"
"2093","G11080","gut","NAU129","6"
"2292","G11081","gut","NAU136","8"
"2609","G11084","gut","NAU149","3"
"2469","G11090","gut","NAU146","3"
"2470","G11097","gut","NAU146","4"
"1678","G11100","gut","NAU108","1"
"2785","G11103","gut","NAU155","6"
"2606","G11107","gut","NAU149","0"
"2508","G11108","gut","NAU147","4"
"2369","G11110","gut","NAU139","2"
"2089","G11112","gut","NAU129","2"
"2427","G11116","gut","NAU144","8"
"1709","G11117","gut","NAU109","1"
"1954","G11118","gut","NAU121","3"
"2945","G11120","gut","NAU160","1"
"1879","G11122","gut","NAU117","3"
"2136","G11123","gut","NAU130","2"
"1607","G11124","gut","NAU106","3"
"1477","G11125","gut","NAU101","1"
